,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
547,X35p.d_05r.u_b,45,0.088888889,0.287799032,0.042902547,0.086464401,-35,5,X35p.d_05r.u_b,Rep,52,0.134615385,0.34464225,0.047793281,0.095949015,-35,5,-0.045726496
549,X35p.d_10r.d_b,55,0.036363636,0.188918595,0.025473778,0.05107185,-35,-10,X35p.d_10r.d_b,Rep,50,0.18,0.388087934,0.054883922,0.110293371,-35,-10,-0.143636364
551,X35p.d_10r.u_b,49,0.102040816,0.305838871,0.043691267,0.087847181,-35,10,X35p.d_10r.u_b,Rep,51,0.215686275,0.415390202,0.058166263,0.116830377,-35,10,-0.113645458
553,X35p.d_15r.d_b,49,0.142857143,0.353553391,0.050507627,0.101552391,-35,-15,X35p.d_15r.d_b,Rep,54,0.203703704,0.406532954,0.055322128,0.110962136,-35,-15,-0.060846561
555,X35p.d_15r.u_b,44,0.090909091,0.290803363,0.043840257,0.088412303,-35,15,X35p.d_15r.u_b,Rep,54,0.166666667,0.376177397,0.05119126,0.102676664,-35,15,-0.075757576
557,X35p.d_20r.d_b,58,0.103448276,0.307203297,0.040337769,0.080774989,-35,-20,X35p.d_20r.d_b,Rep,45,0.111111111,0.317820863,0.047377937,0.095483958,-35,-20,-0.007662835
559,X35p.d_20r.u_b,52,0.038461538,0.194183909,0.026928463,0.054061146,-35,20,X35p.d_20r.u_b,Rep,49,0.142857143,0.353553391,0.050507627,0.101552391,-35,20,-0.104395604
561,X35p.d_25r.d_b,48,0.083333333,0.279310194,0.040314954,0.081103226,-35,-25,X35p.d_25r.d_b,Rep,49,0.244897959,0.434483038,0.062069005,0.1247981,-35,-25,-0.161564626
563,X35p.d_25r.u_b,58,0.068965517,0.255608594,0.033563053,0.067208854,-35,25,X35p.d_25r.u_b,Rep,44,0.181818182,0.390153653,0.058817876,0.118617552,-35,25,-0.112852665
565,X35p.d_30r.d_b,51,0.058823529,0.23763541,0.033275613,0.066836036,-35,-30,X35p.d_30r.d_b,Rep,44,0.159090909,0.369989429,0.055778005,0.112487068,-35,-30,-0.10026738
567,X35p.d_30r.u_b,50,0.08,0.274047516,0.038756171,0.077883442,-35,30,X35p.d_30r.u_b,Rep,49,0.142857143,0.353553391,0.050507627,0.101552391,-35,30,-0.062857143
569,X35p.d_35r.d_b,51,0.098039216,0.30032662,0.042054138,0.084468223,-35,-35,X35p.d_35r.d_b,Rep,47,0.063829787,0.247092248,0.036042109,0.072549002,-35,-35,0.034209428
571,X35p.d_35r.u_b,51,0.058823529,0.23763541,0.033275613,0.066836036,-35,35,X35p.d_35r.u_b,Rep,41,0.292682927,0.460646417,0.071940884,0.14539795,-35,35,-0.233859397
573,X35p.d_40r.d_b,45,0.044444444,0.208409077,0.031067791,0.062613018,-35,-40,X35p.d_40r.d_b,Rep,51,0.058823529,0.23763541,0.033275613,0.066836036,-35,-40,-0.014379085
575,X35p.d_40r.u_b,52,0.134615385,0.34464225,0.047793281,0.095949015,-35,40,X35p.d_40r.u_b,Rep,50,0.2,0.404061018,0.057142857,0.114832871,-35,40,-0.065384615
577,X35p.d_45r.d_b,58,0.051724138,0.223403796,0.029334355,0.058741034,-35,-45,X35p.d_45r.d_b,Rep,39,0.128205128,0.338688428,0.054233553,0.109790088,-35,-45,-0.07648099
579,X35p.d_45r.u_b,48,0.104166667,0.308709278,0.044558346,0.08963983,-35,45,X35p.d_45r.u_b,Rep,52,0.25,0.437237316,0.060633906,0.121727646,-35,45,-0.145833333
581,X35p.d_50r.d_b,51,0.019607843,0.140028008,0.019607843,0.039383512,-35,-50,X35p.d_50r.d_b,Rep,45,0.111111111,0.317820863,0.047377937,0.095483958,-35,-50,-0.091503268
583,X35p.d_50r.u_b,54,0.037037037,0.190625877,0.025940896,0.052030849,-35,50,X35p.d_50r.u_b,Rep,46,0.195652174,0.401085484,0.059136828,0.119107686,-35,50,-0.158615137
585,X35p.d_r.nc_b,53,0.075471698,0.266678761,0.036631145,0.07350577,-35,0,X35p.d_r.nc_b,Rep,46,0.152173913,0.363158447,0.053544792,0.107844747,-35,0,-0.076702215
587,X35p.u_05r.d_b,50,0.94,0.239897937,0.033926692,0.068178239,35,-5,X35p.u_05r.d_b,Rep,54,0.759259259,0.431547684,0.058726201,0.117789843,35,-5,0.180740741
589,X35p.u_05r.u_b,55,0.909090909,0.290129427,0.039121044,0.078432971,35,5,X35p.u_05r.u_b,Rep,45,0.866666667,0.343775825,0.051247074,0.103281692,35,5,0.042424242
591,X35p.u_10r.d_b,49,0.979591837,0.142857143,0.020408163,0.041033362,35,-10,X35p.u_10r.d_b,Rep,49,0.836734694,0.373437789,0.053348256,0.107263857,35,-10,0.142857143
593,X35p.u_10r.u_b,49,0.918367347,0.276641668,0.039520238,0.079460765,35,10,X35p.u_10r.u_b,Rep,53,0.830188679,0.379060025,0.052067899,0.104481883,35,10,0.088178668
595,X35p.u_15r.d_b,47,0.936170213,0.247092248,0.036042109,0.072549002,35,-15,X35p.u_15r.d_b,Rep,55,0.690909091,0.466377977,0.062886394,0.126079628,35,-15,0.245261122
597,X35p.u_15r.u_b,49,0.857142857,0.353553391,0.050507627,0.101552391,35,15,X35p.u_15r.u_b,Rep,50,0.84,0.37032804,0.052372294,0.105246064,35,15,0.017142857
599,X35p.u_20r.d_b,53,0.905660377,0.295097829,0.040534804,0.081339035,35,-20,X35p.u_20r.d_b,Rep,45,0.6,0.495433694,0.073854895,0.14884476,35,-20,0.305660377
601,X35p.u_20r.u_b,50,0.84,0.37032804,0.052372294,0.105246064,35,20,X35p.u_20r.u_b,Rep,55,0.872727273,0.336349986,0.045353423,0.090928138,35,20,-0.032727273
603,X35p.u_25r.d_b,56,0.928571429,0.259870097,0.034726602,0.069593667,35,-25,X35p.u_25r.d_b,Rep,44,0.454545455,0.503686201,0.075933552,0.153134602,35,-25,0.474025974
605,X35p.u_25r.u_b,44,0.840909091,0.369989429,0.055778005,0.112487068,35,25,X35p.u_25r.u_b,Rep,58,0.862068966,0.347839238,0.04567353,0.091459665,35,25,-0.021159875
607,X35p.u_30r.d_b,61,0.836065574,0.373288444,0.047794688,0.09560361,35,-30,X35p.u_30r.d_b,Rep,42,0.642857143,0.484965605,0.074831817,0.151125921,35,-30,0.193208431
609,X35p.u_30r.u_b,48,0.6875,0.468417435,0.067610233,0.136014245,35,30,X35p.u_30r.u_b,Rep,52,0.903846154,0.297678296,0.041280552,0.082874167,35,30,-0.216346154
611,X35p.u_35r.d_b,56,0.678571429,0.471251443,0.062973623,0.12620196,35,-35,X35p.u_35r.d_b,Rep,44,0.5,0.505780539,0.076249285,0.153771339,35,-35,0.178571429
613,X35p.u_35r.u_b,53,0.886792453,0.319878424,0.043938681,0.088169413,35,35,X35p.u_35r.u_b,Rep,47,0.914893617,0.282056673,0.041142194,0.082814942,35,35,-0.028101164
615,X35p.u_40r.d_b,46,0.891304348,0.314696388,0.046399451,0.093453291,35,-40,X35p.u_40r.d_b,Rep,54,0.555555556,0.501569863,0.068255013,0.136902219,35,-40,0.335748792
617,X35p.u_40r.u_b,44,0.818181818,0.390153653,0.058817876,0.118617552,35,40,X35p.u_40r.u_b,Rep,55,0.818181818,0.389249472,0.052486388,0.105228872,35,40,0
619,X35p.u_45r.d_b,55,0.781818182,0.416818154,0.056203748,0.112681731,35,-45,X35p.u_45r.d_b,Rep,47,0.425531915,0.499768679,0.072898754,0.146737581,35,-45,0.356286267
621,X35p.u_45r.u_b,49,0.795918367,0.407205509,0.058172216,0.116963079,35,45,X35p.u_45r.u_b,Rep,50,0.74,0.443087498,0.062662035,0.125924074,35,45,0.055918367
623,X35p.u_50r.d_b,48,0.791666667,0.410414079,0.05923817,0.119171826,35,-50,X35p.u_50r.d_b,Rep,46,0.413043478,0.49782134,0.073399752,0.14783469,35,-50,0.378623188
625,X35p.u_50r.u_b,51,0.784313725,0.415390202,0.058166263,0.116830377,35,50,X35p.u_50r.u_b,Rep,47,0.829787234,0.379882644,0.055411579,0.111537723,35,50,-0.045473509
627,X35p.u_r.nc_b,42,0.857142857,0.354168802,0.054649433,0.110366768,35,0,X35p.u_r.nc_b,Rep,56,0.875,0.333711906,0.044594129,0.089368632,35,0,-0.017857143
629,X40p.d_05r.d_b,51,0.078431373,0.271524382,0.038021018,0.076367463,-40,-5,X40p.d_05r.d_b,Rep,46,0.195652174,0.401085484,0.059136828,0.119107686,-40,-5,-0.117220801
631,X40p.d_05r.u_b,53,0.075471698,0.266678761,0.036631145,0.07350577,-40,5,X40p.d_05r.u_b,Rep,48,0.166666667,0.376621789,0.054360673,0.109359568,-40,5,-0.091194969
633,X40p.d_10r.d_b,54,0.074074074,0.264350529,0.03597355,0.072153805,-40,-10,X40p.d_10r.d_b,Rep,48,0.125,0.334218682,0.048240312,0.097046989,-40,-10,-0.050925926
635,X40p.d_10r.u_b,51,0.098039216,0.30032662,0.042054138,0.084468223,-40,10,X40p.d_10r.u_b,Rep,44,0.045454545,0.210707055,0.031765284,0.0640608,-40,10,0.05258467
637,X40p.d_15r.d_b,51,0.078431373,0.271524382,0.038021018,0.076367463,-40,-15,X40p.d_15r.d_b,Rep,51,0.215686275,0.415390202,0.058166263,0.116830377,-40,-15,-0.137254902
639,X40p.d_15r.u_b,52,0.134615385,0.34464225,0.047793281,0.095949015,-40,15,X40p.d_15r.u_b,Rep,51,0.176470588,0.385013369,0.053912655,0.108286755,-40,15,-0.041855204
641,X40p.d_20r.d_b,52,0.134615385,0.34464225,0.047793281,0.095949015,-40,-20,X40p.d_20r.d_b,Rep,48,0.229166667,0.424744395,0.061306573,0.123332916,-40,-20,-0.094551282
643,X40p.d_20r.u_b,55,0.145454545,0.355807991,0.04797714,0.096188374,-40,20,X40p.d_20r.u_b,Rep,43,0.139534884,0.350604604,0.053466701,0.107900171,-40,20,0.005919662
645,X40p.d_25r.d_b,45,0.133333333,0.343775825,0.051247074,0.103281692,-40,-25,X40p.d_25r.d_b,Rep,57,0.157894737,0.367883604,0.048727374,0.097612659,-40,-25,-0.024561404
647,X40p.d_25r.u_b,51,0.078431373,0.271524382,0.038021018,0.076367463,-40,25,X40p.d_25r.u_b,Rep,50,0.24,0.431419111,0.061011876,0.122607955,-40,25,-0.161568627
649,X40p.d_30r.d_b,44,0.090909091,0.290803363,0.043840257,0.088412303,-40,-30,X40p.d_30r.d_b,Rep,54,0.12962963,0.33904952,0.046138796,0.092542705,-40,-30,-0.038720539
651,X40p.d_30r.u_b,49,0.06122449,0.242226071,0.034603724,0.069575451,-40,30,X40p.d_30r.u_b,Rep,51,0.235294118,0.428403328,0.059988465,0.120490378,-40,30,-0.174069628
653,X40p.d_35r.d_b,47,0.021276596,0.145864991,0.021276596,0.042827566,-40,-35,X40p.d_35r.d_b,Rep,54,0.240740741,0.431547684,0.058726201,0.117789843,-40,-35,-0.219464145
655,X40p.d_35r.u_b,50,0.1,0.303045763,0.042857143,0.086124653,-40,35,X40p.d_35r.u_b,Rep,48,0.166666667,0.376621789,0.054360673,0.109359568,-40,35,-0.066666667
657,X40p.d_40r.d_b,50,0.16,0.37032804,0.052372294,0.105246064,-40,-40,X40p.d_40r.d_b,Rep,47,0.106382979,0.311660528,0.04546036,0.091506959,-40,-40,0.053617021
659,X40p.d_40r.u_b,51,0.156862745,0.367290023,0.05143089,0.103301984,-40,40,X40p.d_40r.u_b,Rep,46,0.195652174,0.401085484,0.059136828,0.119107686,-40,40,-0.038789429
661,X40p.d_45r.d_b,52,0.076923077,0.269069118,0.037313173,0.074909321,-40,-45,X40p.d_45r.d_b,Rep,49,0.265306122,0.446071286,0.063724469,0.128126633,-40,-45,-0.188383046
663,X40p.d_45r.u_b,49,0.081632653,0.276641668,0.039520238,0.079460765,-40,45,X40p.d_45r.u_b,Rep,51,0.137254902,0.347540377,0.048665387,0.097747306,-40,45,-0.055622249
665,X40p.d_50r.d_b,51,0.078431373,0.271524382,0.038021018,0.076367463,-40,-50,X40p.d_50r.d_b,Rep,48,0.1875,0.39444278,0.056932911,0.114534244,-40,-50,-0.109068627
667,X40p.d_50r.u_b,55,0.145454545,0.355807991,0.04797714,0.096188374,-40,50,X40p.d_50r.u_b,Rep,44,0.181818182,0.390153653,0.058817876,0.118617552,-40,50,-0.036363636
669,X40p.d_r.nc_b,52,0.057692308,0.235435478,0.032649026,0.065545656,-40,0,X40p.d_r.nc_b,Rep,48,0.208333333,0.410414079,0.05923817,0.119171826,-40,0,-0.150641026
671,X40p.u_05r.d_b,48,0.979166667,0.144337567,0.020833333,0.041911261,40,-5,X40p.u_05r.d_b,Rep,52,0.692307692,0.466041382,0.064628312,0.129746749,40,-5,0.286858974
673,X40p.u_05r.u_b,56,0.928571429,0.259870097,0.034726602,0.069593667,40,5,X40p.u_05r.u_b,Rep,49,0.87755102,0.331200661,0.04731438,0.095131937,40,5,0.051020408
675,X40p.u_10r.d_b,51,0.980392157,0.140028008,0.019607843,0.039383512,40,-10,X40p.u_10r.d_b,Rep,48,0.666666667,0.476393067,0.068761416,0.138330127,40,-10,0.31372549
677,X40p.u_10r.u_b,47,0.936170213,0.247092248,0.036042109,0.072549002,40,10,X40p.u_10r.u_b,Rep,52,0.884615385,0.322602539,0.044736923,0.08981312,40,10,0.051554828
679,X40p.u_15r.d_b,54,0.907407407,0.29258242,0.039815424,0.079859628,40,-15,X40p.u_15r.d_b,Rep,48,0.666666667,0.476393067,0.068761416,0.138330127,40,-15,0.240740741
681,X40p.u_15r.u_b,54,0.925925926,0.264350529,0.03597355,0.072153805,40,15,X40p.u_15r.u_b,Rep,46,0.891304348,0.314696388,0.046399451,0.093453291,40,15,0.034621578
683,X40p.u_20r.d_b,45,0.866666667,0.343775825,0.051247074,0.103281692,40,-20,X40p.u_20r.d_b,Rep,54,0.574074074,0.499125721,0.067922407,0.136235097,40,-20,0.292592593
685,X40p.u_20r.u_b,46,0.891304348,0.314696388,0.046399451,0.093453291,40,20,X40p.u_20r.u_b,Rep,58,0.879310345,0.328611444,0.043148796,0.086403975,40,20,0.011994003
687,X40p.u_25r.d_b,54,0.888888889,0.317220634,0.043168261,0.086584566,40,-25,X40p.u_25r.d_b,Rep,51,0.529411765,0.50410083,0.070588235,0.141780643,40,-25,0.359477124
689,X40p.u_25r.u_b,53,0.867924528,0.341812806,0.0469516,0.094215278,40,25,X40p.u_25r.u_b,Rep,47,0.85106383,0.35987458,0.052493103,0.105663135,40,25,0.016860699
691,X40p.u_30r.d_b,50,0.86,0.350509833,0.049569576,0.099613792,40,-30,X40p.u_30r.d_b,Rep,44,0.613636364,0.492544843,0.074253929,0.149747319,40,-30,0.246363636
693,X40p.u_30r.u_b,61,0.803278689,0.400818834,0.051319593,0.10265447,40,30,X40p.u_30r.u_b,Rep,41,0.926829268,0.263651655,0.041175471,0.083218731,40,30,-0.12355058
695,X40p.u_35r.d_b,50,0.9,0.303045763,0.042857143,0.086124653,40,-35,X40p.u_35r.d_b,Rep,52,0.576923077,0.498867496,0.069180474,0.138885598,40,-35,0.323076923
697,X40p.u_35r.u_b,43,0.837209302,0.373543684,0.056964878,0.114959777,40,35,X40p.u_35r.u_b,Rep,52,0.826923077,0.382004714,0.052974523,0.106350792,40,35,0.010286225
699,X40p.u_40r.d_b,52,0.75,0.437237316,0.060633906,0.121727646,40,-40,X40p.u_40r.d_b,Rep,49,0.530612245,0.504233776,0.072033397,0.144832851,40,-40,0.219387755
701,X40p.u_40r.u_b,52,0.730769231,0.447887618,0.062110837,0.124692709,40,40,X40p.u_40r.u_b,Rep,48,0.854166667,0.356673958,0.051481451,0.103567321,40,40,-0.123397436
703,X40p.u_45r.d_b,53,0.830188679,0.379060025,0.052067899,0.104481883,40,-45,X40p.u_45r.d_b,Rep,46,0.47826087,0.505046992,0.074465116,0.149980443,40,-45,0.35192781
705,X40p.u_45r.u_b,47,0.70212766,0.462267268,0.067428611,0.135726754,40,45,X40p.u_45r.u_b,Rep,53,0.830188679,0.379060025,0.052067899,0.104481883,40,45,-0.12806102
707,X40p.u_50r.d_b,59,0.728813559,0.448388243,0.058375177,0.116850613,40,-50,X40p.u_50r.d_b,Rep,41,0.341463415,0.480091455,0.074977689,0.151535561,40,-50,0.387350145
709,X40p.u_50r.u_b,51,0.725490196,0.450707505,0.063111674,0.126763528,40,50,X40p.u_50r.u_b,Rep,45,0.844444444,0.3665289,0.054638902,0.110117472,40,50,-0.118954248
711,X40p.u_r.nc_b,46,0.913043478,0.284884925,0.042003991,0.08460038,40,0,X40p.u_r.nc_b,Rep,52,0.846153846,0.364321307,0.050522275,0.1014277,40,0,0.066889632
713,X45p.d_05r.d_b,42,0.142857143,0.354168802,0.054649433,0.110366768,-45,-5,X45p.d_05r.d_b,Rep,58,0.155172414,0.3652312,0.047957206,0.096032649,-45,-5,-0.012315271
715,X45p.d_05r.u_b,47,0.14893617,0.35987458,0.052493103,0.105663135,-45,5,X45p.d_05r.u_b,Rep,49,0.12244898,0.331200661,0.04731438,0.095131937,-45,5,0.026487191
717,X45p.d_10r.d_b,43,0.069767442,0.257769631,0.0393095,0.079329783,-45,-10,X45p.d_10r.d_b,Rep,54,0.203703704,0.406532954,0.055322128,0.110962136,-45,-10,-0.133936262
719,X45p.d_10r.u_b,53,0.150943396,0.361419552,0.049644794,0.099619566,-45,10,X45p.d_10r.u_b,Rep,46,0.130434783,0.340502612,0.050204371,0.101116794,-45,10,0.020508614
721,X45p.d_15r.d_b,52,0.096153846,0.297678296,0.041280552,0.082874167,-45,-15,X45p.d_15r.d_b,Rep,47,0.127659574,0.337318149,0.049202909,0.099040319,-45,-15,-0.031505728
723,X45p.d_15r.u_b,53,0.132075472,0.341812806,0.0469516,0.094215278,-45,15,X45p.d_15r.u_b,Rep,48,0.104166667,0.308709278,0.044558346,0.08963983,-45,15,0.027908805
725,X45p.d_20r.d_b,45,0.088888889,0.287799032,0.042902547,0.086464401,-45,-20,X45p.d_20r.d_b,Rep,47,0.170212766,0.379882644,0.055411579,0.111537723,-45,-20,-0.081323877
727,X45p.d_20r.u_b,51,0.117647059,0.325395687,0.04556451,0.091519012,-45,20,X45p.d_20r.u_b,Rep,42,0.238095238,0.431080537,0.066517171,0.134334152,-45,20,-0.120448179
729,X45p.d_25r.d_b,40,0.075,0.266746783,0.04217637,0.08530976,-45,-25,X45p.d_25r.d_b,Rep,54,0.259259259,0.44234304,0.060195263,0.120736408,-45,-25,-0.184259259
731,X45p.d_25r.u_b,51,0.019607843,0.140028008,0.019607843,0.039383512,-45,25,X45p.d_25r.u_b,Rep,49,0.12244898,0.331200661,0.04731438,0.095131937,-45,25,-0.102841136
733,X45p.d_30r.d_b,61,0.06557377,0.249589827,0.031956703,0.063922923,-45,-30,X45p.d_30r.d_b,Rep,42,0.119047619,0.327770068,0.050576019,0.102140343,-45,-30,-0.053473849
735,X45p.d_30r.u_b,49,0.06122449,0.242226071,0.034603724,0.069575451,-45,30,X45p.d_30r.u_b,Rep,49,0.244897959,0.434483038,0.062069005,0.1247981,-45,30,-0.183673469
737,X45p.d_35r.d_b,49,0.142857143,0.353553391,0.050507627,0.101552391,-45,-35,X45p.d_35r.d_b,Rep,54,0.166666667,0.376177397,0.05119126,0.102676664,-45,-35,-0.023809524
739,X45p.d_35r.u_b,54,0.055555556,0.231212282,0.031464006,0.063108805,-45,35,X45p.d_35r.u_b,Rep,44,0.136363636,0.347141757,0.052333589,0.105540741,-45,35,-0.080808081
741,X45p.d_40r.d_b,49,0.081632653,0.276641668,0.039520238,0.079460765,-45,-40,X45p.d_40r.d_b,Rep,47,0.106382979,0.311660528,0.04546036,0.091506959,-45,-40,-0.024750326
743,X45p.d_40r.u_b,51,0.098039216,0.30032662,0.042054138,0.084468223,-45,40,X45p.d_40r.u_b,Rep,46,0.152173913,0.363158447,0.053544792,0.107844747,-45,40,-0.054134697
745,X45p.d_45r.d_b,50,0.1,0.303045763,0.042857143,0.086124653,-45,-45,X45p.d_45r.d_b,Rep,49,0.142857143,0.353553391,0.050507627,0.101552391,-45,-45,-0.042857143
747,X45p.d_45r.u_b,58,0.051724138,0.223403796,0.029334355,0.058741034,-45,45,X45p.d_45r.u_b,Rep,47,0.234042553,0.427976328,0.062426763,0.125658557,-45,45,-0.182318415
749,X45p.d_50r.d_b,45,0.111111111,0.317820863,0.047377937,0.095483958,-45,-50,X45p.d_50r.d_b,Rep,55,0.090909091,0.290129427,0.039121044,0.078432971,-45,-50,0.02020202
751,X45p.d_50r.u_b,49,0.102040816,0.305838871,0.043691267,0.087847181,-45,50,X45p.d_50r.u_b,Rep,49,0.102040816,0.305838871,0.043691267,0.087847181,-45,50,0
753,X45p.d_r.nc_b,60,0.1,0.30253169,0.039056673,0.078152223,-45,0,X45p.d_r.nc_b,Rep,40,0.15,0.361620285,0.057177187,0.115651778,-45,0,-0.05
755,X45p.u_05r.d_b,57,0.929824561,0.257713096,0.034134934,0.068380489,45,-5,X45p.u_05r.d_b,Rep,45,0.8,0.404519917,0.060302269,0.121531237,45,-5,0.129824561
757,X45p.u_05r.u_b,49,0.959183673,0.199914948,0.028559278,0.057422278,45,5,X45p.u_05r.u_b,Rep,47,0.893617021,0.311660528,0.04546036,0.091506959,45,5,0.065566652
759,X45p.u_10r.d_b,44,0.886363636,0.321038221,0.048398333,0.09760454,45,-10,X45p.u_10r.d_b,Rep,55,0.745454545,0.439620283,0.059278387,0.11884601,45,-10,0.140909091
761,X45p.u_10r.u_b,53,0.962264151,0.192380248,0.026425459,0.053026563,45,10,X45p.u_10r.u_b,Rep,51,0.921568627,0.271524382,0.038021018,0.076367463,45,10,0.040695523
763,X45p.u_15r.d_b,46,0.847826087,0.363158447,0.053544792,0.107844747,45,-15,X45p.u_15r.d_b,Rep,49,0.714285714,0.456435465,0.065205066,0.131103573,45,-15,0.133540373
765,X45p.u_15r.u_b,45,0.822222222,0.386645767,0.057637748,0.116161248,45,15,X45p.u_15r.u_b,Rep,49,0.857142857,0.353553391,0.050507627,0.101552391,45,15,-0.034920635
767,X45p.u_20r.d_b,47,0.978723404,0.145864991,0.021276596,0.042827566,45,-20,X45p.u_20r.d_b,Rep,51,0.62745098,0.48829435,0.068374885,0.137334999,45,-20,0.351272424
769,X45p.u_20r.u_b,52,0.923076923,0.269069118,0.037313173,0.074909321,45,20,X45p.u_20r.u_b,Rep,46,0.891304348,0.314696388,0.046399451,0.093453291,45,20,0.031772575
771,X45p.u_25r.d_b,42,0.904761905,0.297101757,0.045843796,0.092583425,45,-25,X45p.u_25r.d_b,Rep,55,0.709090909,0.458367767,0.061806297,0.123914165,45,-25,0.195670996
773,X45p.u_25r.u_b,51,0.882352941,0.325395687,0.04556451,0.091519012,45,25,X45p.u_25r.u_b,Rep,48,0.770833333,0.424744395,0.061306573,0.123332916,45,25,0.111519608
775,X45p.u_30r.d_b,53,0.773584906,0.422515791,0.058037007,0.116459775,45,-30,X45p.u_30r.d_b,Rep,49,0.489795918,0.505076272,0.072153753,0.145074844,45,-30,0.283788987
777,X45p.u_30r.u_b,48,0.854166667,0.356673958,0.051481451,0.103567321,45,30,X45p.u_30r.u_b,Rep,49,0.816326531,0.391230398,0.055890057,0.112374491,45,30,0.037840136
779,X45p.u_35r.d_b,49,0.775510204,0.421569791,0.060224256,0.121088982,45,-35,X45p.u_35r.d_b,Rep,48,0.479166667,0.504852341,0.072869159,0.146593839,45,-35,0.296343537
781,X45p.u_35r.u_b,42,0.857142857,0.354168802,0.054649433,0.110366768,45,35,X45p.u_35r.u_b,Rep,59,0.898305085,0.304841126,0.039686934,0.07944203,45,35,-0.041162228
783,X45p.u_40r.d_b,52,0.75,0.437237316,0.060633906,0.121727646,45,-40,X45p.u_40r.d_b,Rep,45,0.644444444,0.484090316,0.072163924,0.145436832,45,-40,0.105555556
785,X45p.u_40r.u_b,42,0.80952381,0.397436618,0.061325802,0.123849969,45,40,X45p.u_40r.u_b,Rep,54,0.851851852,0.358582503,0.048796898,0.097874183,45,40,-0.042328042
787,X45p.u_45r.d_b,51,0.882352941,0.325395687,0.04556451,0.091519012,45,-45,X45p.u_45r.d_b,Rep,48,0.479166667,0.504852341,0.072869159,0.146593839,45,-45,0.403186275
789,X45p.u_45r.u_b,52,0.653846154,0.480384461,0.066617339,0.133739888,45,45,X45p.u_45r.u_b,Rep,48,0.854166667,0.356673958,0.051481451,0.103567321,45,45,-0.200320513
791,X45p.u_50r.d_b,58,0.689655172,0.466675309,0.06127747,0.122706017,45,-50,X45p.u_50r.d_b,Rep,43,0.511627907,0.505780539,0.077130809,0.155656275,45,-50,0.178027265
793,X45p.u_50r.u_b,47,0.70212766,0.462267268,0.067428611,0.135726754,45,50,X45p.u_50r.u_b,Rep,55,0.727272727,0.449466575,0.060606061,0.121507836,45,50,-0.025145068
795,X45p.u_r.nc_b,50,0.86,0.350509833,0.049569576,0.099613792,45,0,X45p.u_r.nc_b,Rep,50,0.86,0.350509833,0.049569576,0.099613792,45,0,0
797,X50p.d_05r.d_b,48,0.083333333,0.279310194,0.040314954,0.081103226,-50,-5,X50p.d_05r.d_b,Rep,56,0.196428571,0.400891863,0.053571429,0.107359542,-50,-5,-0.113095238
799,X50p.d_05r.u_b,58,0.103448276,0.307203297,0.040337769,0.080774989,-50,5,X50p.d_05r.u_b,Rep,44,0.204545455,0.408032457,0.061513207,0.124053206,-50,5,-0.101097179
801,X50p.d_10r.d_b,47,0.106382979,0.311660528,0.04546036,0.091506959,-50,-10,X50p.d_10r.d_b,Rep,50,0.12,0.328260723,0.046423077,0.093290665,-50,-10,-0.013617021
803,X50p.d_10r.u_b,49,0.081632653,0.276641668,0.039520238,0.079460765,-50,10,X50p.d_10r.u_b,Rep,47,0.191489362,0.397727123,0.058014463,0.116777058,-50,10,-0.109856709
805,X50p.d_15r.d_b,48,0.125,0.334218682,0.048240312,0.097046989,-50,-15,X50p.d_15r.d_b,Rep,53,0.188679245,0.394997749,0.054257114,0.108874864,-50,-15,-0.063679245
807,X50p.d_15r.u_b,46,0.086956522,0.284884925,0.042003991,0.08460038,-50,15,X50p.d_15r.u_b,Rep,52,0.153846154,0.364321307,0.050522275,0.1014277,-50,15,-0.066889632
809,X50p.d_20r.d_b,49,0.040816327,0.199914948,0.028559278,0.057422278,-50,-20,X50p.d_20r.d_b,Rep,50,0.18,0.388087934,0.054883922,0.110293371,-50,-20,-0.139183673
811,X50p.d_20r.u_b,40,0.025,0.158113883,0.025,0.050567273,-50,20,X50p.d_20r.u_b,Rep,54,0.296296296,0.460910896,0.062722028,0.125804457,-50,20,-0.271296296
813,X50p.d_25r.d_b,44,0.045454545,0.210707055,0.031765284,0.0640608,-50,-25,X50p.d_25r.d_b,Rep,56,0.125,0.333711906,0.044594129,0.089368632,-50,-25,-0.079545455
815,X50p.d_25r.u_b,49,0.06122449,0.242226071,0.034603724,0.069575451,-50,25,X50p.d_25r.u_b,Rep,43,0.279069767,0.453850269,0.069211517,0.139674496,-50,25,-0.217845278
817,X50p.d_30r.d_b,51,0.039215686,0.196039212,0.02745098,0.055136917,-50,-30,X50p.d_30r.d_b,Rep,48,0.145833333,0.356673958,0.051481451,0.103567321,-50,-30,-0.106617647
819,X50p.d_30r.u_b,45,0.133333333,0.343775825,0.051247074,0.103281692,-50,30,X50p.d_30r.u_b,Rep,49,0.244897959,0.434483038,0.062069005,0.1247981,-50,30,-0.111564626
821,X50p.d_35r.d_b,48,0.125,0.334218682,0.048240312,0.097046989,-50,-35,X50p.d_35r.d_b,Rep,51,0.117647059,0.325395687,0.04556451,0.091519012,-50,-35,0.007352941
823,X50p.d_35r.u_b,48,0.0625,0.244623027,0.035308293,0.071031123,-50,35,X50p.d_35r.u_b,Rep,54,0.222222222,0.419643455,0.057106241,0.114540614,-50,35,-0.159722222
