,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
89,X05p.u_10r.u_b,45,0.666666667,0.476731295,0.071066905,0.143225937,5,10,X05p.u_10r.u_b,Rep,54,0.62962963,0.48743829,0.06633195,0.133045042,5,10,0.037037037
91,X05p.u_15r.d_b,45,0.666666667,0.476731295,0.071066905,0.143225937,5,-15,X05p.u_15r.d_b,Rep,52,0.711538462,0.457466958,0.063439253,0.127359615,5,-15,-0.044871795
93,X05p.u_15r.u_b,56,0.625,0.48850421,0.065279121,0.130822282,5,15,X05p.u_15r.u_b,Rep,45,0.733333333,0.447213595,0.066666667,0.134357838,5,15,-0.108333333
95,X05p.u_20r.d_b,46,0.760869565,0.431265971,0.063586698,0.128070185,5,-20,X05p.u_20r.d_b,Rep,52,0.461538462,0.503382226,0.069806555,0.140142507,5,-20,0.299331104
97,X05p.u_20r.u_b,46,0.5,0.50552503,0.074535599,0.150122403,5,20,X05p.u_20r.u_b,Rep,53,0.679245283,0.471233443,0.064728891,0.129888023,5,20,-0.179245283
99,X05p.u_25r.d_b,48,0.791666667,0.410414079,0.05923817,0.119171826,5,-25,X05p.u_25r.d_b,Rep,47,0.319148936,0.471186429,0.068729605,0.138345518,5,-25,0.47251773
101,X05p.u_25r.u_b,51,0.470588235,0.50410083,0.070588235,0.141780643,5,25,X05p.u_25r.u_b,Rep,50,0.68,0.471212071,0.06663945,0.133916989,5,25,-0.209411765
103,X05p.u_30r.d_b,49,0.734693878,0.446071286,0.063724469,0.128126633,5,-30,X05p.u_30r.d_b,Rep,51,0.352941176,0.4826398,0.06758309,0.135744631,5,-30,0.381752701
105,X05p.u_30r.u_b,48,0.416666667,0.498223795,0.071912411,0.14466911,5,30,X05p.u_30r.u_b,Rep,52,0.519230769,0.504504595,0.0699622,0.140454976,5,30,-0.102564103
107,X05p.u_35r.d_b,47,0.638297872,0.485687854,0.070844855,0.142603296,5,-35,X05p.u_35r.d_b,Rep,54,0.481481481,0.504348664,0.06863316,0.137660686,5,-35,0.156816391
109,X05p.u_35r.u_b,54,0.425925926,0.499125721,0.067922407,0.136235097,5,35,X05p.u_35r.u_b,Rep,49,0.530612245,0.504233776,0.072033397,0.144832851,5,35,-0.104686319
111,X05p.u_40r.d_b,49,0.653061224,0.480928807,0.068704115,0.138138882,5,-40,X05p.u_40r.d_b,Rep,52,0.326923077,0.473665467,0.065685582,0.131869308,5,-40,0.326138148
113,X05p.u_40r.u_b,54,0.462962963,0.503308412,0.0684916,0.137376751,5,40,X05p.u_40r.u_b,Rep,44,0.522727273,0.505257768,0.076170475,0.153612402,5,40,-0.05976431
115,X05p.u_45r.d_b,53,0.566037736,0.500362713,0.068730104,0.137917045,5,-45,X05p.u_45r.d_b,Rep,46,0.391304348,0.493435164,0.072753046,0.146532156,5,-45,0.174733388
117,X05p.u_45r.u_b,48,0.4375,0.501328024,0.072360467,0.145570484,5,45,X05p.u_45r.u_b,Rep,52,0.480769231,0.504504595,0.0699622,0.140454976,5,45,-0.043269231
